BP Comparison Log - 2025-10-29 02:09:27
================================================================================

REMADE FILES
--------------------------------------------------------------------------------
[BP REMADE] 004867e5.tga | original: 152x12 | ceil_p^2: 256x16 | hdc/mc: 304x24
[BP REMADE] 00487b63.tga | original: 64x48 | ceil_p^2: 64x64 | hdc/mc: 128x96
[BP REMADE] 00491714.tga | original: 228x132 | ceil_p^2: 256x256 | hdc/mc: 456x264
[BP REMADE] 00491d9d.tga | original: 90x12 | ceil_p^2: 128x16 | hdc/mc: 180x24
[BP REMADE] 004967e5.tga | original: 152x12 | ceil_p^2: 256x16 | hdc/mc: 304x24
[BP REMADE] 00497b63.tga | original: 64x48 | ceil_p^2: 64x64 | hdc/mc: 128x96
[BP REMADE] 004a67e5.tga | original: 152x12 | ceil_p^2: 256x16 | hdc/mc: 304x24
[BP REMADE] 004a7b63.tga | original: 64x48 | ceil_p^2: 64x64 | hdc/mc: 128x96
[BP REMADE] 004acd8a.tga | original: 268x10 | ceil_p^2: 512x16 | hdc/mc: 536x20
[BP REMADE] 004b2a01.tga | original: 256x256 | ceil_p^2: 256x256 | hdc/mc: 512x512
[BP REMADE] 004b67e5.tga | original: 152x12 | ceil_p^2: 256x16 | hdc/mc: 304x24
[BP REMADE] 004b7b63.tga | original: 64x48 | ceil_p^2: 64x64 | hdc/mc: 128x96
[BP REMADE] 004c1d9d.tga | original: 90x12 | ceil_p^2: 128x16 | hdc/mc: 180x24
[BP REMADE] 004c67e5.tga | original: 280x12 | ceil_p^2: 512x16 | hdc/mc: 560x24
[BP REMADE] 004c943d.tga | original: 96x48 | ceil_p^2: 128x64 | hdc/mc: 192x96
[BP REMADE] 004c9773.tga | original: 228x12 | ceil_p^2: 256x16 | hdc/mc: 456x24
[BP REMADE] 004cf0ba.tga | original: 296x12 | ceil_p^2: 512x16 | hdc/mc: 592x24
[BP REMADE] 004d1d9d.tga | original: 90x12 | ceil_p^2: 128x16 | hdc/mc: 623x24
[BP REMADE] 004d3971.tga | original: 100x48 | ceil_p^2: 128x64 | hdc/mc: 200x96
[BP REMADE] 004dd2d1.tga | original: 112x12 | ceil_p^2: 128x16 | hdc/mc: 224x24
[BP REMADE] 004e6292.tga | original: 16x12 | ceil_p^2: 16x16 | hdc/mc: 32x24
[BP REMADE] 004e93c9.tga | original: 576x42 | ceil_p^2: 1024x64 | hdc/mc: 1152x84
[BP REMADE] 004f1d9d.tga | original: 298x12 | ceil_p^2: 512x16 | hdc/mc: 626x24
[BP REMADE] 004f1d9d_86994cb2425e706d85d38eb0d74da538.tga | original: 298x12 | ceil_p^2: 512x16 | hdc/mc: 596x24
[BP REMADE] 004fb78a.tga | original: 512x448 | ceil_p^2: 512x512 | hdc/mc: 1280x720
[BP REMADE] 004fc78a.tga | original: 512x448 | ceil_p^2: 512x512 | hdc/mc: 1280x720
[BP REMADE] 00501d9d.tga | original: 360x12 | ceil_p^2: 512x16 | hdc/mc: 720x24
[BP REMADE] 00501d9d_1914ca0e502000992f2d09f0b7a86868.tga | original: 360x12 | ceil_p^2: 512x16 | hdc/mc: 720x24
[BP REMADE] 0050bfc5.tga | original: 64x64 | ceil_p^2: 64x64 | hdc/mc: 128x128
[BP REMADE] 005155d8.tga | original: 64x64 | ceil_p^2: 64x64 | hdc/mc: 128x128
[BP REMADE] 0051b133.tga | original: 232x132 | ceil_p^2: 256x256 | hdc/mc: 512x256
[BP REMADE] 005255d8.tga | original: 64x64 | ceil_p^2: 64x64 | hdc/mc: 128x128
